시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
전라남도,화순군,14,1230,223145,60,3979.0,101578.0,124416.0,284.2142857142857,82.58373983739837,0.455210737412893
전라북도,순창군,1,65,34773,4,18463.0,20423.0,74340.0,18463.0,314.2,0.5873234981163546
전북특별자치도,고창군,10,485,241033,50,15469.0,50767.0,80592.0,1546.9,104.6742268041237,0.21062261184153208
전북특별자치도,군산시,24,3178,819820,115,87018.0,643587.0,581782.0,3625.75,202.51321585903085,0.785034519772633
전북특별자치도,김제시,2,236,112232,10,4135.0,66770.0,158700.0,2067.5,282.9237288135593,0.5949283626773113
전북특별자치도,남원시,23,1288,387010,119,13579.0,101642.0,395875.0,590.3913043478261,78.91459627329192,0.2626340404640707
전북특별자치도,무주군,7,548,147097,40,13712.0,33214.0,91660.0,1958.857142857143,60.60948905109489,0.22579658320699947
전북특별자치도,부안군,8,496,188935,37,2560.0,52168.0,101280.0,320.0,105.1774193548387,0.276116124593114
전북특별자치도,순창군,1,276,73934,10,18463.0,20423.0,74340.0,18463.0,73.9963768115942,0.27623285633132255
전북특별자치도,완주군,13,1515,444015,70,34067.0,192156.0,228714.0,2620.5384615384614,126.83564356435643,0.4327691632039458
전북특별자치도,익산시,9,1301,1065798,45,116756.0,628373.0,710559.0,12972.888888888889,482.9923136049193,0.589579826571264
전북특별자치도,임실군,9,466,166640,90,6897.0,19005.0,96575.0,766.3333333333334,40.783261802575105,0.11404824771963515
전북특별자치도,장수군,2,148,110144,10,8177.0,19239.0,63264.0,4088.5,129.99324324324326,0.17467133933759443
전북특별자치도,전주시,41,5383,1671689,281,181772.0,1513922.0,749263.0,4433.463414634146,281.2413152517184,0.9056241920596475
전북특별자치도,정읍시,17,1372,493809,85,19635.0,204144.0,317389.0,1155.0,148.7930029154519,0.4134068030351816
전북특별자치도,진안군,2,257,102671,10,941.0,16970.0,30000.0,470.5,66.03112840466926,0.16528523146750299
제주특별자치도,서귀포시,40,4210,1698079,182,84817.0,720765.0,618475.0,2120.425,171.20308788598575,0.4244590504917616
제주특별자치도,제주시,16,5816,2269190,85,452970.0,1800015.0,1114218.0,28310.625,309.49363823933976,0.793241200604621
충청남도,계룡시,2,739,155198,10,8813.0,169899.0,129077.0,4406.5,229.90392422192153,1.0947241588164796
충청남도,공주시,4,1317,462193,273831,7787.0,201058.0,353076.0,1946.75,152.66362946089598,0.43500875175521914
충청남도,금산군,9,600,222568,90,16105.0,89394.0,144712.0,1789.4444444444443,148.99,0.40164803565651847
충청남도,논산시,6,900,394631,60,10383.0,269485.0,327977.0,1730.5,299.4277777777778,0.6828784358045871
충청남도,당진시,13,1482,415439,60,106659.0,307240.0,248013.0,8204.538461538461,207.3144399460189,0.7395550249254403
충청남도,보령시,11,589,425493,85,13389.0,171720.0,233907.0,1217.1818181818182,291.5449915110357,0.40357890729107176
충청남도,부여군,1,211,31806,10,3543.0,47492.0,69860.0,3543.0,225.08056872037915,1.49317738791423
충청남도,서산시,9,1043,629170,60,88305.0,563830.0,581883.0,9811.666666666666,540.5848513902205,0.8961488945753929
충청남도,서천군,2,186,155525,25,2085.0,31712.0,94023.0,1042.5,170.49462365591398,0.20390290950008036
충청남도,아산시,7,1842,702000,70,63445.0,1035339.0,1187341.0,9063.57142857143,562.0732899022802,1.4748418803418804
충청남도,예산군,2,402,148940,8,10338.0,56935.0,149950.0,5169.0,141.62935323383084,0.3822680273935813
